"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30026","Поиск","firefox","Sun Nov 17 15:59:44 GMT 2024","broken","Sun Nov 17 16:00:14 GMT 2024","Поиск","gallery.spec.js","",""
"","5","Поиск","webkit","Sun Nov 17 16:00:21 GMT 2024","failed","Sun Nov 17 16:00:21 GMT 2024","Поиск","gallery.spec.js","",""
"","7809","Поиск","chromium","Sun Nov 17 15:58:26 GMT 2024","passed","Sun Nov 17 15:58:34 GMT 2024","Поиск","gallery.spec.js","",""
